Date,Stocks,Bonds,Gold
2013-04-29,1593.61,73.535,1476.05
2013-04-30,1597.57,73.537,1476.55
2013-05-01,1582.7,73.659,1457.55
2013-05-02,1597.59,73.676,1466.65
2013-05-03,1614.42,73.327,1469.95
2013-05-06,1617.5,73.319,1469.45
2013-05-07,1625.96,73.248,1451.75
2013-05-08,1632.69,73.318,1473.15
2013-05-09,1626.67,73.201,1457.35
2013-05-10,1633.7,73.02,1446.65
2013-05-13,1633.77,72.943,1429.35
2013-05-14,1650.34,72.801,1423.65
2013-05-15,1658.78,72.888,1391.25
2013-05-16,1650.47,72.994,1384.55
2013-05-17,1667.47,72.835,1357.75
2013-05-20,1666.29,72.82,1392.65
2013-05-21,1669.16,72.888,1374.05
2013-05-22,1655.35,72.645,1368.85
2013-05-23,1650.51,72.637,1389.85
2013-05-24,1649.6,72.641,1385.25
2013-05-27,,,1394.45
2013-05-28,1660.06,72.252,1380.25
2013-05-29,1648.36,72.299,1392.55
2013-05-30,1654.41,72.252,1413.35
2013-05-31,1630.74,72.117,1387.35
2013-06-03,1640.42,72.049,1410.75
2013-06-04,1631.38,72.022,1399.45
2013-06-05,1608.9,71.994,1402.05
2013-06-06,1622.56,72.096,1412.75
2013-06-07,1643.38,71.911,1382.35
2013-06-10,1642.81,71.73,1386.15
2013-06-11,1626.13,71.766,1377.75
2013-06-12,1612.52,71.62,1387.75
2013-06-13,1636.36,71.937,1384.75
2013-06-14,1626.73,72.012,1390.05
2013-06-17,1639.04,71.964,1384.15
2013-06-18,1651.81,71.901,1367.45
2013-06-19,1628.93,71.485,1350.45
2013-06-20,1588.19,70.836,1277.05
2013-06-21,1592.43,70.541,1295.55
2013-06-24,1573.09,70.201,1281.95
2013-06-25,1588.03,70.366,1276.45
2013-06-26,1603.26,70.609,1224.05
2013-06-27,1613.2,70.894,1199.95
2013-06-28,1606.28,71.392,1233.75
2013-07-01,1614.96,71.051,1252.45
2013-07-02,1614.08,71.063,1241.75
2013-07-03,1615.41,71.013,1251.85
2013-07-04,,,1249.15
2013-07-05,1631.89,70.224,1221.95
2013-07-08,1640.46,70.541,1235.65
2013-07-09,1652.32,70.618,1249.35
2013-07-10,1652.62,70.445,1261.75
2013-07-11,1675.02,70.921,1283.85
2013-07-12,1680.19,70.825,1284.15
2013-07-15,1682.5,71.015,1281.75
2013-07-16,1676.26,71.116,1290.35
2013-07-17,1680.91,71.28,1273.45
2013-07-18,1689.37,71.164,1282.75
2013-07-19,1692.09,71.349,1295.05
2013-07-22,1695.53,71.397,1334.45
2013-07-23,1692.39,71.38,1347.45
2013-07-24,1685.94,71.144,1320.75
2013-07-25,1690.25,71.12,1333.65
2013-07-26,1691.65,71.169,1333.05
2013-07-29,1685.33,71.164,1327.45
2013-07-30,1685.96,71.116,1326.35
2013-07-31,1685.73,71.198,1322.55
2013-08-01,1706.87,70.857,1308.35
2013-08-02,1709.67,71.081,1310.95
2013-08-05,1707.14,71.108,1303.25
2013-08-06,1697.37,71.065,1281.5
2013-08-07,1690.91,71.169,1286.4
2013-08-08,1697.48,71.208,1311.7
2013-08-09,1691.42,71.295,1313.5
2013-08-12,1689.47,71.159,1336.0
2013-08-13,1694.16,70.919,1320.3
2013-08-14,1685.39,70.881,1335.7
2013-08-15,1661.32,70.623,1365.9
2013-08-16,1655.83,70.441,1376.3
2013-08-19,1646.06,70.236,1364.9
2013-08-20,1652.35,70.441,1370.6
2013-08-21,1642.8,70.165,1366.1
2013-08-22,1656.96,70.236,1375.7
2013-08-23,1663.5,70.441,1397.4
2013-08-26,1656.78,70.563,1404.7
2013-08-27,1630.48,70.742,1415.6
2013-08-28,1634.96,70.615,1417.8
2013-08-29,1638.17,70.685,1406.9
2013-08-30,1632.97,71.051,1395.0
2013-09-02,,,1391.9
2013-09-03,1639.77,70.434,1411.9
2013-09-04,1653.08,70.343,1391.3
2013-09-05,1655.08,69.857,1367.5
2013-09-06,1655.17,70.121,1391.7
2013-09-09,1671.71,70.3,1386.4
2013-09-10,1683.99,70.146,1363.1
2013-09-11,1689.13,70.343,1365.6
2013-09-12,1683.42,70.327,1320.8
2013-09-13,1687.99,70.441,1326.1
2013-09-16,1697.6,70.528,1313.7
2013-09-17,1704.76,70.588,1309.7
2013-09-18,1725.52,71.152,1364.9
2013-09-19,1722.34,71.074,1365.1
2013-09-20,1709.91,71.065,1326.1
2013-09-23,1701.84,71.119,1322.0
2013-09-24,1697.42,71.271,1323.2
2013-09-25,1692.77,71.42,1333.1
2013-09-26,1698.67,71.317,1323.9
2013-09-27,1691.75,71.333,1336.9
2013-09-30,1681.55,71.846,1328.2
2013-10-01,1695.0,71.291,1287.6
2013-10-02,1693.87,71.373,1316.1
2013-10-03,1678.66,71.407,1316.8
2013-10-04,1690.5,71.328,1310.9
2013-10-07,1676.12,71.382,1322.3
2013-10-08,1655.45,71.354,1318.9
2013-10-09,1656.4,71.311,1307.0
2013-10-10,1692.56,71.328,1286.2
2013-10-11,1703.2,71.354,1271.9
2013-10-14,1710.14,71.212,1272.7
2013-10-15,1698.06,71.194,1280.1
2013-10-16,1721.54,71.493,1281.8
2013-10-17,1733.15,71.741,1319.4
2013-10-18,1744.5,71.824,1315.9
2013-10-21,1744.66,71.733,1315.9
2013-10-22,1754.67,71.96,1340.2
2013-10-23,1746.38,71.99,1332.7
2013-10-24,1752.07,71.99,1346.5
2013-10-25,1759.77,72.075,1350.7
2013-10-28,1762.11,72.009,1352.4
2013-10-29,1771.95,72.055,1344.0
2013-10-30,1763.31,71.984,1340.7
2013-10-31,1756.54,72.305,1322.8
2013-11-01,1761.64,71.797,1315.9
2013-11-04,1767.93,71.842,1314.2
2013-11-05,1762.97,71.622,1311.6
2013-11-06,1770.49,71.75,1317.3
2013-11-07,1747.15,71.891,1307.2
2013-11-08,1770.61,71.422,1288.0
2013-11-11,1771.89,71.362,1281.3
2013-11-12,1767.69,71.328,1265.2
2013-11-13,1782.0,71.517,1281.3
2013-11-14,1790.62,71.723,1286.8
2013-11-15,1798.18,71.75,1289.5
2013-11-18,1791.53,71.882,1275.1
2013-11-19,1787.87,71.741,1274.4
2013-11-20,1781.37,71.542,1241.9
2013-11-21,1795.85,71.542,1241.6
2013-11-22,1804.76,71.706,1243.0
2013-11-25,1802.48,71.76,1251.05
2013-11-26,1802.75,71.77,1241.65
2013-11-27,1807.23,71.741,1237.2
2013-11-28,,,1244.6
2013-11-29,1805.81,71.929,1250.8
2013-12-02,1800.9,71.505,1218.6
2013-12-03,1795.15,71.575,1223.5
2013-12-04,1792.81,71.47,1242.6
2013-12-05,1785.03,71.348,1224.4
2013-12-06,1805.09,71.451,1228.4
2013-12-09,1808.37,71.52,1239.7
2013-12-10,1802.62,71.672,1261.2
2013-12-11,1782.22,71.547,1251.7
2013-12-12,1775.5,71.367,1224.5
2013-12-13,1775.32,71.443,1238.1
2013-12-16,1786.54,71.47,1240.2
2013-12-17,1781.0,71.6,1230.7
2013-12-18,1810.65,71.575,1218.0
2013-12-19,1809.6,71.443,1187.3
2013-12-20,1818.32,71.575,1202.4
2013-12-23,1827.99,71.489,1197.7
2013-12-24,1833.32,71.178,1204.0
2013-12-26,1842.02,71.069,1210.2
2013-12-27,1841.4,71.069,1212.7
2013-12-30,1841.07,71.187,1196.1
2013-12-31,1848.36,71.157,1203.6
2014-01-02,1831.98,71.223,1222.2
2014-01-03,1831.37,71.23,1236.2
2014-01-06,1826.77,71.295,1237.0
2014-01-07,1837.88,71.387,1231.1
2014-01-08,1837.49,71.148,1225.1
2014-01-09,1838.13,71.285,1226.9
2014-01-10,1842.37,71.628,1247.8
2014-01-13,1819.2,71.73,1252.4
2014-01-14,1838.88,71.618,1244.9
2014-01-15,1848.38,71.576,1241.3
2014-01-16,1845.89,71.739,1242.1
2014-01-17,1838.7,71.821,1253.6
2014-01-20,,,1254.6
2014-01-21,1843.8,71.821,1239.9
2014-01-22,1844.86,71.692,1236.4
2014-01-23,1828.46,71.888,1264.3
2014-01-24,1790.29,72.073,1269.8
2014-01-27,1781.56,71.939,1256.4
2014-01-28,1792.5,71.999,1255.6
2014-01-29,1774.2,72.165,1267.8
2014-01-30,1794.19,72.165,1243.2
2014-01-31,1782.59,72.267,1244.2
2014-02-03,1741.89,72.492,1256.9
2014-02-04,1755.2,72.374,1254.2
2014-02-05,1751.64,72.232,1257.4
2014-02-06,1773.43,72.203,1257.4
2014-02-07,1797.02,72.293,1267.0
2014-02-10,1799.84,72.335,1274.5
2014-02-11,1819.75,72.185,1290.7
