,ABT,ACT,ADA,ADX,AE,AGI,AION,AMB,ANT,ARDR,ARK,AST,AUTO,BAT,BAY,BCD,BCH,BCN,BCO,BIS,BIX,BLOCK,BLZ,BNB,BNT,BOS,BTC,BTCD,BTCP,BTG,BTM,BTS,BTX,C20,CENNZ,CLOAK,CMT,CND,CNX,CS,CVC,DASH,DATA,DBC,DCN,DCR,DDD,DENT,DEW,DGB,DGD,DOGE,DRGN,DROP,DTA,DTR,EDG,EDO,ELA,ELF,EMC,ENG,ENJ,EOS,ETC,ETH,ETHOS,ETN,EVN,FCT,FSN,FUN,GAME,GAS,GBYTE,GNO,GNT,GNX,GRS,GTO,GVT,GXS,HPB,HSR,ICN,ICX,IGNIS,ION,IOST,ITC,KCS,KIN,KMD,KNC,LEND,LINK,LOOM,LRC,LSK,LTC,MAID,MAN,MANA,MCO,MED,MIOTA,MITH,MKR,MNX,MONA,MTL,NANO,NAS,NAV,NCASH,NEBL,NEO,NULS,NXS,NXT,OMG,ONT,OST,PART,PAY,PAYX,PIVX,PLR,POA,POE,POLY,POWR,PPC,PPP,PPT,PRL,PURA,QASH,QRL,QSP,QTUM,R,RCN,RDD,RDN,REP,REQ,RHOC,RLC,RUFF,SALT,SAN,SC,SKY,SLS,SMART,SMT,SNGLS,SNM,SNT,SPANK,SPHTX,SRN,STEEM,STORJ,STORM,STRAT,SUB,SYS,TEL,THETA,TKY,TNB,TRX,UBQ,USDT,UTNP,VEE,VEN,VERI,VTC,WAN,WAVES,WAX,WTC,XAS,XDN,XEM,XIN,XLM,XMR,XP,XRP,XVG,XZC,ZEC,ZEN,ZIL,ZRX
2015-04-01,,,,,,,,,,,,,,,0.000215,,,1.4e-05,,,,0.033116,,,,,247.27,1.1,,,,0.00629,,,,0.016907,,,,,,3.83,,,,,,,,0.000132,,0.000128,,,,,,,,,,,,,,,,,,,,,0.000407,,,,,,0.000361,,,,,,,,,,,,,,,,,,,,,1.66,0.01917,,,,,,,,,0.144231,,,,0.004874,,,,,0.001476,0.01019,,,,,,,,,,,,,0.321977,,,,0.000176,,,,,,,1.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.00035,,,,,,0.015564,1.0,,,,,0.01012,,,,,,8e-05,0.000242,,0.002803,1.01,,0.007668,1.2e-05,,,,,
2015-04-02,,,,,,,,,,,,,,,0.000248,,,1.5e-05,,,,0.0322,,,,,253.0,1.1,,,,0.006082,,,,0.023781,,,,,,4.54,,,,,,,,0.000139,,0.000129,,,,,,,,,,,,,,,,,,,,,0.000539,,,,,,0.000296,,,,,,,,,,,,,,,,,,,,,1.68,0.018031,,,,,,,,,0.145092,,,,0.005011,,,,,0.00124,0.010823,,,,,,,,,,,,,0.324439,,,,0.000281,,,,,,,1.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000335,,,,,,0.01542,1.0,,,,,0.01045,,,,,,8.4e-05,0.000314,,0.002664,0.96926,,0.007906,1.3e-05,,,,,
2015-04-03,,,,,,,,,,,,,,,0.000297,,,1.5e-05,,,,0.031923,,,,,254.32,1.09,,,,0.006114,,,,0.032134,,,,,,4.36,,,,,,,,0.00015,,0.000129,,,,,,,,,,,,,,,,,,,,,0.000562,,,,,,0.000381,,,,,,,,,,,,,,,,,,,,,1.7,0.019793,,,,,,,,,0.139927,,,,0.005131,,,,,0.001356,0.010597,,,,,,,,,,,,,0.330202,,,,0.000209,,,,,,,1.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000348,,,,,,0.013332,1.0,,,,,0.010341,,,,,,8.1e-05,0.00031,,0.002768,0.952245,,0.00872,1.3e-05,,,,,
2015-04-04,,,,,,,,,,,,,,,0.000331,,,1.5e-05,,,,0.032539,,,,,253.7,1.0,,,,0.006053,,,,0.034791,,,,,,4.13,,,,,,,,0.000148,,0.000128,,,,,,,,,,,,,,,,,,,,,0.000594,,,,,,0.000297,,,,,,,,,,,,,,,,,,,,,1.69,0.019722,,,,,,,,,0.138158,,,,0.004572,,,,,0.001263,0.01067,,,,,,,,,,,,,0.330835,,,,0.000218,,,,,,,1.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000364,,,,,,0.015862,1.0,,,,,0.010396,,,,,,7.6e-05,0.000277,,0.00269,0.85929,,0.008844,1.3e-05,,,,,
2015-04-05,,,,,,,,,,,,,,,0.000386,,,1.6e-05,,,,0.033597,,,,,260.6,1.08,,,,0.005842,,,,0.026411,,,,,,4.17,,,,,,,,0.000144,,0.000127,,,,,,,,,,,,,,,,,,,,,0.000681,,,,,,0.000339,,,,,,,,,,,,,,,,,,,,,1.7,0.020546,,,,,,,,,0.148524,,,,0.004716,,,,,0.001436,0.011024,,,,,,,,,,,,,0.332226,,,,0.000214,,,,,,,1.9e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000375,,,,,,0.01797,1.0,,,,,0.010428,,,,,,9.9e-05,0.000232,,0.002666,0.883731,,0.008739,1.3e-05,,,,,
2015-04-06,,,,,,,,,,,,,,,0.000302,,,1.8e-05,,,,0.033218,,,,,255.49,1.08,,,,0.005665,,,,0.027371,,,,,,4.09,,,,,,,,0.000133,,0.000124,,,,,,,,,,,,,,,,,,,,,0.000631,,,,,,0.000309,,,,,,,,,,,,,,,,,,,,,1.69,0.020414,,,,,,,,,0.144367,,,,0.004656,,,,,0.001318,0.010887,,,,,,,,,,,,,0.313793,,,,0.000138,,,,,,,1.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000348,,,,,,0.015935,1.0,,,,,0.010113,,,,,,8.7e-05,0.000289,,0.002589,0.789463,,0.008786,1.3e-05,,,,,
2015-04-07,,,,,,,,,,,,,,,0.000342,,,2.3e-05,,,,0.03072,,,,,253.18,1.09,,,,0.005677,,,,0.02078,,,,,,3.78,,,,,,,,0.000134,,0.000122,,,,,,,,,,,,,,,,,,,,,0.000471,,,,,,0.000286,,,,,,,,,,,,,,,,,,,,,1.67,0.021563,,,,,,,,,0.141221,,,,0.005056,,,,,0.001461,0.01108,,,,,,,,,,,,,0.308914,,,,0.000129,,,,,,,1.8e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000342,,,,,,0.028486,1.0,,,,,0.010169,,,,,,9.4e-05,0.000241,,0.00269,0.833302,,0.009071,1.2e-05,,,,,
2015-04-08,,,,,,,,,,,,,,,0.000316,,,2.8e-05,,,,0.029106,,,,,245.02,1.04,,,,0.005638,,,,0.020161,,,,,,3.68,,,,,,,,0.000122,,0.000117,,,,,,,,,,,,,,,,,,,,,0.000565,,,,,,0.000306,,,,,,,,,,,,,,,,,,,,,1.63,0.021906,,,,,,,,,0.136147,,,,0.004999,,,,,0.001431,0.011,,,,,,,,,,,,,0.297407,,,,0.00011,,,,,,,1.5e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000358,,,,,,0.021262,1.0,,,,,0.009908,,,,,,8.5e-05,0.000228,,0.002709,0.755192,,0.009198,1.2e-05,,,,,
2015-04-09,,,,,,,,,,,,,,,0.000341,,,2.8e-05,,,,0.025512,,,,,243.68,1.07,,,,0.00536,,,,0.019108,,,,,,3.42,,,,,,,,0.000114,,0.000117,,,,,,,,,,,,,,,,,,,,,0.000544,,,,,,0.000378,,,,,,,,,,,,,,,,,,,,,1.59,0.021323,,,,,,,,,0.102288,,,,0.006527,,,,,0.001443,0.010847,,,,,,,,,,,,,0.289245,,,,8.3e-05,,,,,,,1.5e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000362,,,,,,0.022921,1.0,,,,,0.010314,,,,,,8.6e-05,0.000224,,0.002649,0.758207,,0.00878,1.2e-05,,,,,
2015-04-10,,,,,,,,,,,,,,,0.000354,,,2.1e-05,,,,0.02551,,,,,236.07,1.03,,,,0.004802,,,,0.033668,,,,,,3.23,,,,,,,,0.00011,,0.000113,,,,,,,,,,,,,,,,,,,,,0.000554,,,,,,0.000259,,,,,,,,,,,,,,,,,,,,,1.53,0.021804,,,,,,,,,0.106841,,,,0.006346,,,,,0.001256,0.010377,,,,,,,,,,,,,0.249968,,,,0.000172,,,,,,,1.4e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.000395,,,,,,0.020763,1.0,,,,,0.009625,,,,,,7.3e-05,0.000175,,0.002637,0.800381,,0.008512,1.4e-05,,,,,
