,ABT,ACT,ADA,ADX,AE,AGI,AION,AMB,ANT,ARDR,ARK,AST,AUTO,BAT,BAY,BCD,BCH,BCN,BCO,BIS,BIX,BLOCK,BLZ,BNB,BNT,BOS,BTC,BTCD,BTCP,BTG,BTM,BTS,BTX,C20,CENNZ,CLOAK,CMT,CND,CNX,CS,CVC,DASH,DATA,DBC,DCN,DCR,DDD,DENT,DEW,DGB,DGD,DOGE,DRGN,DROP,DTA,DTR,EDG,EDO,ELA,ELF,EMC,ENG,ENJ,EOS,ETC,ETH,ETHOS,ETN,EVN,FCT,FSN,FUN,GAME,GAS,GBYTE,GNO,GNT,GNX,GRS,GTO,GVT,GXS,HPB,HSR,ICN,ICX,IGNIS,ION,IOST,ITC,KCS,KIN,KMD,KNC,LEND,LINK,LOOM,LRC,LSK,LTC,MAID,MAN,MANA,MCO,MED,MIOTA,MITH,MKR,MNX,MONA,MTL,NANO,NAS,NAV,NCASH,NEBL,NEO,NULS,NXS,NXT,OMG,ONT,OST,PART,PAY,PAYX,PIVX,PLR,POA,POE,POLY,POWR,PPC,PPP,PPT,PRL,PURA,QASH,QRL,QSP,QTUM,R,RCN,RDD,RDN,REP,REQ,RHOC,RLC,RUFF,SALT,SAN,SC,SKY,SLS,SMART,SMT,SNGLS,SNM,SNT,SPANK,SPHTX,SRN,STEEM,STORJ,STORM,STRAT,SUB,SYS,TEL,THETA,TKY,TNB,TRX,UBQ,USDT,UTNP,VEE,VEN,VERI,VTC,WAN,WAVES,WAX,WTC,XAS,XDN,XEM,XIN,XLM,XMR,XP,XRP,XVG,XZC,ZEC,ZEN,ZIL,ZRX
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153488372093,0.0,0.0,0.0714285714286,0.0,0.0,0.0,-0.0276603454523,0.0,0.0,0.0,0.0,0.0231730497028,0.0,0.0,0.0,0.0,-0.0330683624801,0.0,0.0,0.0,0.40657715739,0.0,0.0,0.0,0.0,0.0,0.185378590078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530303030303,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324324324324,0.0,0.0,0.0,0.0,0.0,-0.180055401662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120481927711,-0.059415753782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00596959044866,0.0,0.0,0.0,0.0281083299138,0.0,0.0,0.0,0.0,-0.159891598916,0.0621197252208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00764650891213,0.0,0.0,0.0,0.596590909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0428571428571,0.0,0.0,0.0,0.0,0.0,-0.00925212027756,0.0,0.0,0.0,0.0,0.0,0.0326086956522,0.0,0.0,0.0,0.0,0.0,0.05,0.297520661157,0.0,-0.0495897252943,-0.0403366336634,0.0,0.0310380803339,0.0833333333333,0.0,0.0,0.0,0.0,0.0
2015-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197580645161,0.0,0.0,0.0,0.0,0.0,0.0,-0.00860248447205,0.0,0.0,0.0,0.0,0.00521739130435,-0.00909090909091,0.0,0.0,0.0,0.00526142716212,0.0,0.0,0.0,0.351246793659,0.0,0.0,0.0,0.0,0.0,-0.0396475770925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791366906475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426716141002,0.0,0.0,0.0,0.0,0.0,0.287162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619048,0.0977205923132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0355981032724,0.0,0.0,0.0,0.023947315905,0.0,0.0,0.0,0.0,0.0935483870968,-0.0208814561582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177629693101,0.0,0.0,0.0,-0.256227758007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388059701493,0.0,0.0,0.0,0.0,0.0,-0.135408560311,0.0,0.0,0.0,0.0,0.0,-0.0104306220096,0.0,0.0,0.0,0.0,0.0,-0.0357142857143,-0.0127388535032,0.0,0.039039039039,-0.0175546293048,0.0,0.102959777384,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114478114478,0.0,0.0,0.0,0.0,0.0,0.0,0.0192964320396,0.0,0.0,0.0,0.0,-0.00243787354514,-0.0825688073394,0.0,0.0,0.0,-0.00997710173373,0.0,0.0,0.0,0.0826850065351,0.0,0.0,0.0,0.0,0.0,-0.052752293578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333,0.0,-0.0077519379845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569395017794,0.0,0.0,0.0,0.0,0.0,-0.220472440945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00588235294118,-0.00358712676199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0126423063455,0.0,0.0,0.0,-0.108945624635,0.0,0.0,0.0,0.0,-0.0685840707965,0.00688874209682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00191700837669,0.0,0.0,0.0,0.0430622009569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459770114943,0.0,0.0,0.0,0.0,0.0,0.189768976898,0.0,0.0,0.0,0.0,0.0,0.00531863456145,0.0,0.0,0.0,0.0,0.0,-0.0617283950617,-0.106451612903,0.0,-0.0281791907514,-0.0976166847818,0.0,0.0142201834862,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166163141994,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.0325148283598,0.0,0.0,0.0,0.0,0.0271974773354,0.08,0.0,0.0,0.0,-0.0348587477284,0.0,0.0,0.0,-0.240866890863,0.0,0.0,0.0,0.0,0.0,0.00968523002421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027027027027,0.0,-0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146464646465,0.0,0.0,0.0,0.0,0.0,0.141414141414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591715976331,0.0417807524592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0750300380724,0.0,0.0,0.0,0.0314960629921,0.0,0.0,0.0,0.0,0.136975455265,0.0331771321462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00420451282361,0.0,0.0,0.0,-0.0183486238532,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302197802198,0.0,0.0,0.0,0.0,0.0,0.132896229984,0.0,0.0,0.0,0.0,0.0,0.00307810696422,0.0,0.0,0.0,0.0,0.0,0.302631578947,-0.162454873646,0.0,-0.0089219330855,0.0284432496596,0.0,-0.0118724559023,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.217616580311,0.0,0.0,0.125,0.0,0.0,0.0,-0.0112807691163,0.0,0.0,0.0,0.0,-0.0196085955487,0.0,0.0,0.0,0.0,-0.0302978432044,0.0,0.0,0.0,0.036348491159,0.0,0.0,0.0,0.0,0.0,-0.0191846522782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0763888888889,0.0,-0.0236220472441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0734214390602,0.0,0.0,0.0,0.0,0.0,-0.0884955752212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00588235294118,-0.00642460819624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0279887425601,0.0,0.0,0.0,-0.0127226463104,0.0,0.0,0.0,0.0,-0.0821727019499,-0.0124274310595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0554833155743,0.0,0.0,0.0,-0.355140186916,0.0,0.0,0.0,0.0,0.0,0.0,-0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.072,0.0,0.0,0.0,0.0,0.0,-0.113244296049,0.0,0.0,0.0,0.0,0.0,-0.0302071346375,0.0,0.0,0.0,0.0,0.0,-0.121212121212,0.245689655172,0.0,-0.0288822205551,-0.106670468729,0.0,0.00537818972422,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132450331126,0.0,0.0,0.277777777778,0.0,0.0,0.0,-0.0752001926666,0.0,0.0,0.0,0.0,-0.0090414497632,0.00925925925926,0.0,0.0,0.0,0.00211827007944,0.0,0.0,0.0,-0.240802309013,0.0,0.0,0.0,0.0,0.0,-0.0757946210269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00751879699248,0.0,-0.0161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.253565768621,0.0,0.0,0.0,0.0,0.0,-0.0744336569579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0118343195266,0.0562849025179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021791683695,0.0,0.0,0.0,0.085910652921,0.0,0.0,0.0,0.0,0.108497723824,0.0177275649858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0155484666643,0.0,0.0,0.0,-0.0652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0172413793103,0.0,0.0,0.0,0.0,0.0,0.787637276436,0.0,0.0,0.0,0.0,0.0,0.00553742707406,0.0,0.0,0.0,0.0,0.0,0.0804597701149,-0.166089965398,0.0,0.039011201236,0.0555301515081,0.0,0.0324379694969,-0.0769230769231,0.0,0.0,0.0,0.0,0.0
2015-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0760233918129,0.0,0.0,0.217391304348,0.0,0.0,0.0,-0.0525390625,0.0,0.0,0.0,0.0,-0.0322300339679,-0.045871559633,0.0,0.0,0.0,-0.00686982561212,0.0,0.0,0.0,-0.0297882579403,0.0,0.0,0.0,0.0,0.0,-0.026455026455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.089552238806,0.0,-0.0409836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19957537155,0.0,0.0,0.0,0.0,0.0,0.0699300699301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0239520958084,0.0159068775217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03592950057,0.0,0.0,0.0,-0.0112737341772,0.0,0.0,0.0,0.0,-0.0205338809035,-0.0072202166065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0372498494727,0.0,0.0,0.0,-0.147286821705,0.0,0.0,0.0,0.0,0.0,0.0,-0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046783625731,0.0,0.0,0.0,0.0,0.0,-0.253598258794,0.0,0.0,0.0,0.0,0.0,-0.025666240535,0.0,0.0,0.0,0.0,0.0,-0.0957446808511,-0.0539419087137,0.0,0.00706319702602,-0.0937355244557,0.0,0.0140006614486,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791139240506,0.0,0.0,0.0,0.0,0.0,0.0,-0.123479694908,0.0,0.0,0.0,0.0,-0.00546894131091,0.0288461538462,0.0,0.0,0.0,-0.0493082653423,0.0,0.0,0.0,-0.0522295521056,0.0,0.0,0.0,0.0,0.0,-0.070652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0655737704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0371681415929,0.0,0.0,0.0,0.0,0.0,0.235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0245398773006,-0.026613713138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.248694425878,0.0,0.0,0.0,0.305661132226,0.0,0.0,0.0,0.0,0.0083857442348,-0.0139090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0274438732108,0.0,0.0,0.0,-0.245454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111731843575,0.0,0.0,0.0,0.0,0.0,0.078026526197,0.0,0.0,0.0,0.0,0.0,0.0409769882923,0.0,0.0,0.0,0.0,0.0,0.0117647058824,-0.0175438596491,0.0,-0.0221483942414,0.00399236220723,0.0,-0.045444661883,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0381231671554,0.0,0.0,-0.25,0.0,0.0,0.0,-7.83944810286e-05,0.0,0.0,0.0,0.0,-0.0312294812869,-0.0373831775701,0.0,0.0,0.0,-0.104104477612,0.0,0.0,0.0,0.761984509106,0.0,0.0,0.0,0.0,0.0,-0.0555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0350877192982,0.0,-0.034188034188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183823529412,0.0,0.0,0.0,0.0,0.0,-0.314814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0377358490566,0.0225578014351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445115751603,0.0,0.0,0.0,-0.0277309636893,0.0,0.0,0.0,0.0,-0.129591129591,-0.0433299529824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.135791457069,0.0,0.0,0.0,1.07228915663,0.0,0.0,0.0,0.0,0.0,0.0,-0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0911602209945,0.0,0.0,0.0,0.0,0.0,-0.0941494699184,0.0,0.0,0.0,0.0,0.0,-0.0668024044987,0.0,0.0,0.0,0.0,0.0,-0.151162790698,-0.21875,0.0,-0.00453001132503,0.0556233324145,0.0,-0.0305239179954,0.166666666667,0.0,0.0,0.0,0.0,0.0
