Date,Stocks,Bonds,Gold
2013-04-29,445717664.0,798824.0,144813.0
2013-04-30,669432192.0,907232.0,168892.0
2013-05-01,506621440.0,996550.0,183691.0
2013-05-02,457063488.0,916201.0,163210.0
2013-05-03,519264768.0,1021477.0,194184.0
2013-05-06,469425824.0,1258921.0,87994.0
2013-05-07,468852608.0,1341278.0,118875.0
2013-05-08,497459104.0,904845.0,205249.0
2013-05-09,474269536.0,948444.0,221892.0
2013-05-10,463335936.0,919543.0,267493.0
2013-05-13,442427936.0,1099665.0,185994.0
2013-05-14,518118944.0,1240287.0,205247.0
2013-05-15,529719520.0,1479508.0,255167.0
2013-05-16,548370112.0,1561805.0,247726.0
2013-05-17,706743232.0,1052153.0,265001.0
2013-05-20,476444288.0,2184372.0,293953.0
2013-05-21,502560032.0,865440.0,253998.0
2013-05-22,671338496.0,1508123.0,397753.0
2013-05-23,593567552.0,1495567.0,397753.0
2013-05-24,438667424.0,1075197.0,256910.0
2013-05-27,,,179388.0
2013-05-28,541947584.0,1077644.0,219252.0
2013-05-29,498001024.0,1660295.0,327087.0
2013-05-30,516677600.0,1820220.0,260151.0
2013-05-31,856607424.0,1589275.0,181631.0
2013-06-03,604739584.0,3177258.0,152412.0
2013-06-04,559586944.0,1571820.0,125840.0
2013-06-05,564604096.0,1395703.0,147633.0
2013-06-06,603104064.0,1255805.0,185151.0
2013-06-07,576822080.0,1362081.0,211774.0
2013-06-10,434326720.0,1136215.0,114860.0
2013-06-11,487252800.0,2332720.0,158889.0
2013-06-12,488106464.0,1431898.0,121341.0
2013-06-13,501772224.0,1824867.0,138112.0
2013-06-14,449387968.0,1286971.0,106189.0
2013-06-17,510067936.0,1172874.0,82254.0
2013-06-18,461329536.0,1514692.0,132599.0
2013-06-19,555580672.0,1776316.0,141914.0
2013-06-20,768562624.0,1716247.0,195422.0
2013-06-21,1507628032.0,1923931.0,205438.0
2013-06-24,670789696.0,3986622.0,171933.0
2013-06-25,591590848.0,7167089.0,177920.0
2013-06-26,559634432.0,2691560.0,175918.0
2013-06-27,508676928.0,1020640.0,291434.0
2013-06-28,1063713216.0,1207707.0,336008.0
2013-07-01,518269216.0,1611178.0,228441.0
2013-07-02,520743808.0,994451.0,228441.0
2013-07-03,299449824.0,639801.0,199872.0
2013-07-04,,,187864.0
2013-07-05,422727360.0,1778457.0,255591.0
2013-07-08,735025920.0,2247899.0,176838.0
2013-07-09,507529280.0,1539032.0,193986.0
2013-07-10,498198272.0,3494331.0,216618.0
2013-07-11,555101760.0,1171542.0,249847.0
2013-07-12,576052736.0,1585916.0,163541.0
2013-07-15,408685536.0,2609377.0,144688.0
2013-07-16,453881568.0,2195115.0,159218.0
2013-07-17,499419776.0,1834547.0,269803.0
2013-07-18,511027456.0,1561158.0,148894.0
2013-07-19,755577600.0,1606689.0,180227.0
2013-07-22,465115936.0,1184738.0,242207.0
2013-07-23,438855424.0,1787241.0,215946.0
2013-07-24,514314656.0,1332561.0,234109.0
2013-07-25,502108480.0,884504.0,245187.0
2013-07-26,457379712.0,1153721.0,251685.0
2013-07-29,411199968.0,1748823.0,249877.0
2013-07-30,492238592.0,1467604.0,183204.0
2013-07-31,649166464.0,1593669.0,249531.0
2013-08-01,520624288.0,1646329.0,171600.0
2013-08-02,494271968.0,1184491.0,209374.0
2013-08-05,363503776.0,1706931.0,106164.0
2013-08-06,446571232.0,936709.0,163420.0
2013-08-07,438520672.0,1050547.0,134976.0
2013-08-08,447033280.0,830825.0,161950.0
2013-08-09,403455936.0,848150.0,104261.0
2013-08-12,369626976.0,1176685.0,152757.0
2013-08-13,402385632.0,1022919.0,158069.0
2013-08-14,413885248.0,918859.0,127897.0
2013-08-15,499477472.0,1037801.0,238770.0
2013-08-16,639181376.0,924126.0,190341.0
2013-08-19,433674336.0,870444.0,135507.0
2013-08-20,428069056.0,1117518.0,144761.0
2013-08-21,473510432.0,837238.0,161601.0
2013-08-22,395302400.0,853337.0,156188.0
2013-08-23,444359904.0,1852570.0,172050.0
2013-08-26,409048064.0,777925.0,108967.0
2013-08-27,494860512.0,830686.0,176268.0
2013-08-28,430479936.0,872995.0,184931.0
2013-08-29,378215200.0,970937.0,184931.0
2013-08-30,531626400.0,1372802.0,165017.0
2013-09-02,,,134731.0
2013-09-03,513965184.0,1822992.0,215982.0
2013-09-04,524200096.0,917930.0,150927.0
2013-09-05,428671744.0,1855778.0,182385.0
2013-09-06,484511552.0,1081122.0,173082.0
2013-09-09,423770848.0,1121600.0,85905.0
2013-09-10,489102208.0,1270015.0,140899.0
2013-09-11,476922176.0,1670508.0,108628.0
2013-09-12,442003808.0,857764.0,197153.0
2013-09-13,384176064.0,1209036.0,180983.0
2013-09-16,446955104.0,930308.0,166048.0
2013-09-17,416930688.0,1079603.0,149299.0
2013-09-18,568130432.0,1250773.0,254644.0
2013-09-19,504423936.0,1190067.0,188943.0
2013-09-20,1373984640.0,635603.0,205849.0
2013-09-23,501528672.0,943940.0,152954.0
2013-09-24,489451168.0,1193079.0,170679.0
2013-09-25,460838656.0,893290.0,158564.0
2013-09-26,408889600.0,769461.0,179967.0
2013-09-27,464604448.0,553163.0,142811.0
2013-09-30,605955456.0,1371815.0,124925.0
2013-10-01,440301824.0,1296209.0,220637.0
2013-10-02,467332192.0,1113189.0,180641.0
2013-10-03,482102112.0,6864582.0,133866.0
2013-10-04,421141824.0,846983.0,111726.0
2013-10-07,413598240.0,949799.0,99732.0
2013-10-08,537033920.0,951794.0,131322.0
2013-10-09,548816064.0,1263479.0,164573.0
