,market,t10-wm-rm,t10-wms-rm,t5-we-rm,t5-wm-rm,t5-wsm-rm,t5-wm-rm-f1c30,t10-wm-rm-f1c30,t10-wm-rm-f2c50,t10-wm-rm-f5
market,1.0,0.9931,0.993,0.8147,0.9899,0.99,0.8652,0.9039,0.9623,0.9681
t10-wm-rm,0.9931,1.0,0.9976,0.8151,0.9985,0.996,0.8685,0.9051,0.9655,0.969
t10-wms-rm,0.993,0.9976,1.0,0.805,0.9962,0.9986,0.8569,0.8957,0.961,0.9658
t5-we-rm,0.8147,0.8151,0.805,1.0,0.8064,0.7973,0.9723,0.9398,0.8769,0.8663
t5-wm-rm,0.9899,0.9985,0.9962,0.8064,1.0,0.9974,0.8624,0.8942,0.9592,0.9572
t5-wsm-rm,0.99,0.996,0.9986,0.7973,0.9974,1.0,0.851,0.8854,0.9549,0.9547
t5-wm-rm-f1c30,0.8652,0.8685,0.8569,0.9723,0.8624,0.851,1.0,0.9817,0.9345,0.8937
t10-wm-rm-f1c30,0.9039,0.9051,0.8957,0.9398,0.8942,0.8854,0.9817,1.0,0.974,0.9396
t10-wm-rm-f2c50,0.9623,0.9655,0.961,0.8769,0.9592,0.9549,0.9345,0.974,1.0,0.9714
t10-wm-rm-f5,0.9681,0.969,0.9658,0.8663,0.9572,0.9547,0.8937,0.9396,0.9714,1.0
