date,,SP500,Gold,Fund,Ethereum
2015-04-30,SP500,NaN,NaN,NaN,NaN
2015-04-30,Gold,NaN,NaN,NaN,NaN
2015-04-30,Fund,NaN,NaN,NaN,NaN
2015-04-30,Ethereum,NaN,NaN,NaN,NaN
2015-05-31,SP500,NaN,NaN,NaN,NaN
2015-05-31,Gold,NaN,NaN,NaN,NaN
2015-05-31,Fund,NaN,NaN,NaN,NaN
2015-05-31,Ethereum,NaN,NaN,NaN,NaN
2015-06-30,SP500,NaN,NaN,NaN,NaN
2015-06-30,Gold,NaN,NaN,NaN,NaN
2015-06-30,Fund,NaN,NaN,NaN,NaN
2015-06-30,Ethereum,NaN,NaN,NaN,NaN
2015-07-31,SP500,NaN,NaN,NaN,NaN
2015-07-31,Gold,NaN,NaN,NaN,NaN
2015-07-31,Fund,NaN,NaN,NaN,NaN
2015-07-31,Ethereum,NaN,NaN,NaN,NaN
2015-08-31,SP500,NaN,NaN,NaN,NaN
2015-08-31,Gold,NaN,NaN,NaN,NaN
2015-08-31,Fund,NaN,NaN,NaN,NaN
2015-08-31,Ethereum,NaN,NaN,NaN,NaN
2015-09-30,SP500,NaN,NaN,NaN,NaN
2015-09-30,Gold,NaN,NaN,NaN,NaN
2015-09-30,Fund,NaN,NaN,NaN,NaN
2015-09-30,Ethereum,NaN,NaN,NaN,NaN
2015-10-31,SP500,NaN,NaN,NaN,NaN
2015-10-31,Gold,NaN,NaN,NaN,NaN
2015-10-31,Fund,NaN,NaN,NaN,NaN
2015-10-31,Ethereum,NaN,NaN,NaN,NaN
2015-11-30,SP500,NaN,NaN,NaN,NaN
2015-11-30,Gold,NaN,NaN,NaN,NaN
2015-11-30,Fund,NaN,NaN,NaN,NaN
2015-11-30,Ethereum,NaN,NaN,NaN,NaN
2015-12-31,SP500,NaN,NaN,NaN,NaN
2015-12-31,Gold,NaN,NaN,NaN,NaN
2015-12-31,Fund,NaN,NaN,NaN,NaN
2015-12-31,Ethereum,NaN,NaN,NaN,NaN
2016-01-31,SP500,NaN,NaN,NaN,NaN
2016-01-31,Gold,NaN,NaN,NaN,NaN
2016-01-31,Fund,NaN,NaN,NaN,NaN
2016-01-31,Ethereum,NaN,NaN,NaN,NaN
2016-02-29,SP500,NaN,NaN,NaN,NaN
2016-02-29,Gold,NaN,NaN,NaN,NaN
2016-02-29,Fund,NaN,NaN,NaN,NaN
2016-02-29,Ethereum,NaN,NaN,NaN,NaN
2016-03-31,SP500,1.0,-0.10450210309056447,-0.22286650432224234,NaN
2016-03-31,Gold,-0.10450210309056447,0.9999999999999998,0.16218469614927894,NaN
2016-03-31,Fund,-0.22286650432224234,0.16218469614927894,0.9999999999999999,NaN
2016-03-31,Ethereum,NaN,NaN,NaN,NaN
2016-04-30,SP500,0.9999999999999999,-0.35120950592490724,-0.32172485840081394,NaN
2016-04-30,Gold,-0.35120950592490724,1.0,-0.08905776149567984,NaN
2016-04-30,Fund,-0.32172485840081394,-0.08905776149567984,0.9999999999999998,NaN
