,ABT,ACT,ADA,ADX,AE,AGI,AION,AMB,ANT,ARDR,ARK,AST,AUTO,BAT,BAY,BCD,BCH,BCN,BCO,BIS,BIX,BLOCK,BLZ,BNB,BNT,BOS,BTC,BTCD,BTCP,BTG,BTM,BTS,BTX,C20,CENNZ,CLOAK,CMT,CND,CNX,CS,CVC,DASH,DATA,DBC,DCN,DCR,DDD,DENT,DEW,DGB,DGD,DOGE,DRGN,DROP,DTA,DTR,EDG,EDO,ELA,ELF,EMC,ENG,ENJ,EOS,ETC,ETH,ETHOS,ETN,EVN,FCT,FSN,FUN,GAME,GAS,GBYTE,GNO,GNT,GNX,GRS,GTO,GVT,GXS,HPB,HSR,ICN,ICX,IGNIS,ION,IOST,ITC,KCS,KIN,KMD,KNC,LEND,LINK,LOOM,LRC,LSK,LTC,MAID,MAN,MANA,MCO,MED,MIOTA,MITH,MKR,MNX,MONA,MTL,NANO,NAS,NAV,NCASH,NEBL,NEO,NULS,NXS,NXT,OMG,ONT,OST,PART,PAY,PAYX,PIVX,PLR,POA,POE,POLY,POWR,PPC,PPP,PPT,PRL,PURA,QASH,QRL,QSP,QTUM,R,RCN,RDD,RDN,REP,REQ,RHOC,RLC,RUFF,SALT,SAN,SC,SKY,SLS,SMART,SMT,SNGLS,SNM,SNT,SPANK,SPHTX,SRN,STEEM,STORJ,STORM,STRAT,SUB,SYS,TEL,THETA,TKY,TNB,TRX,UBQ,USDT,UTNP,VEE,VEN,VERI,VTC,WAN,WAVES,WAX,WTC,XAS,XDN,XEM,XIN,XLM,XMR,XP,XRP,XVG,XZC,ZEC,ZEN,ZIL,ZRX
2015-04-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.907942258154,0.0,,,,0.00407165684927,,,,0.0,,,,,,0.00559844188921,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0165526042248,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0658350388831,0.0,,,,,
2015-05-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.907054753147,0.0,,,,0.0,,,,0.0,,,,,,0.00431718709085,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0151843307156,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.00359414577933,0.0,,0.0698495832677,0.0,,,,,
2015-06-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.900378195854,0.0,,,,0.00468721208993,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0178031731143,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.00451865086011,0.0,,0.0726127680814,0.0,,,,,
2015-07-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.870065274376,0.0,,,,0.00406647061339,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.00458095197148,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0380366255307,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0832506775088,0.0,,,,,
2015-08-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.891606681479,0.0,,,,0.0,,,,0.0,,,,,,0.00448657489799,,,,,,,,0.0,,0.004009575372,,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0415220694556,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.058375098795,0.0,,,,,
2015-09-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.872628070459,0.0,,,,0.0,,,,0.0,,,,,,0.00385324234205,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0256672523384,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0311854778673,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0666659569929,0.0,,,,,
2015-10-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.901765126851,0.0,,,,0.00410544277024,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0140708224164,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0333737471401,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0466848608224,0.0,,,,,
2015-11-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.920610782164,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.00275393245771,,,,,,,,,0.0,,,,,0.0135342072596,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0323998215736,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0307012565448,0.0,,,,,
2015-12-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.937122764302,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,0.0,,0.00218979874115,,,,,,,,,0.0,,,,,0.0109930625911,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0262167381757,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0234776361903,0.0,,,,,
2016-01-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.935505209852,0.0,,,,0.0,,,,0.0,,,,,,0.00293209833056,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0102417222407,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0220482534053,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0292727161715,0.0,,,,,
2016-02-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.909090495579,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,0.00464086808104,,,,,,,,,0.0,,,,,0.0288969488418,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0221136442964,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0352580432015,0.0,,,,,
2016-03-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.875057696957,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.064035980831,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0201834791049,0.00536762182061,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0353552212865,0.0,,,,,
2016-04-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.826942219632,0.0,,,,0.0,,,,0.0,,,,,,0.00563718329098,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.115668877449,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0189108551916,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0328408644362,0.0,,,,,
2016-05-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.858365264905,0.0,,,,0.0,,,,0.0,,,,,,0.00540328926907,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.086285512572,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0206003561668,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0293455770874,0.0,,,,,
2016-06-01,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.837955027323,0.0,,,,0.0,,,,0.0,,,,,,0.00536033907139,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.114936403693,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.021651899477,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0200963304352,0.0,,,,,
2016-07-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.871706371861,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0836378291175,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0160661126601,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.00920435043378,,0.0,0.0,,0.0193853359272,0.0,,,,,
2016-08-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.859102463395,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0855332582436,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0166046397677,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0203553533181,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0184042852752,0.0,,,,,
2016-09-01,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,0.859804659285,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0919225350917,,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0169496447922,0.0,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0111594842462,,,0.0,,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0201636765846,0.0,,,,,
