,ADA,BCH,BCN,BTC,BTG,BTS,DASH,DOGE,EMC,EOS,ETC,ETH,FCT,GNT,LSK,LTC,MAID,MIOTA,NEO,NXT,PPC,REP,STEEM,STRAT,WAVES,XEM,XLM,XMR,XRP
2015-04-01,0.0,0.0,0.0,0.896,0.0,0.004,0.006,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.002,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.065
2015-05-01,0.0,0.0,0.0,0.896,0.0,0.002,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.003,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.069
2015-06-01,0.0,0.0,0.0,0.887,0.0,0.005,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.002,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.072
2015-07-01,0.0,0.0,0.0,0.857,0.0,0.004,0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.002,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.082
2015-08-01,0.0,0.0,0.003,0.879,0.0,0.003,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.058
2015-09-01,0.0,0.0,0.003,0.861,0.0,0.002,0.004,0.003,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.031,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.066
2015-10-01,0.0,0.0,0.0,0.889,0.0,0.004,0.004,0.003,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.033,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.046
2015-11-01,0.0,0.0,0.0,0.911,0.0,0.002,0.003,0.003,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.03
2015-12-01,0.0,0.0,0.0,0.93,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.023
2016-01-01,0.0,0.0,0.0,0.929,0.0,0.001,0.003,0.002,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.029
